id_2,parto,pesaje,del,lvd,raza
3596,6/4/2008,31/10/2008,208,13.7,MESTIZA
3596,6/4/2008,16/11/2008,224,12.4,MESTIZA
3596,6/4/2008,4/12/2008,242,11,MESTIZA
3596,6/4/2008,18/12/2008,256,11,MESTIZA
3596,6/4/2008,31/12/2008,269,12,MESTIZA
3596,6/4/2008,15/1/2009,284,10.8,MESTIZA
3596,6/4/2008,1/2/2009,301,7.7,MESTIZA
3596,6/4/2008,15/2/2009,315,9.4,MESTIZA
3596,6/4/2008,5/3/2009,333,8.2,MESTIZA
3596,6/4/2008,19/3/2009,347,3,MESTIZA
3596,6/4/2008,2/4/2009,361,9,MESTIZA
3623,16/4/2008,20/5/2008,34,16.2,CARORA
3623,16/4/2008,4/6/2008,49,16.7,CARORA
3623,16/4/2008,17/6/2008,62,15.8,CARORA
3623,16/4/2008,6/7/2008,81,15.7,CARORA
3623,16/4/2008,20/7/2008,95,14.7,CARORA
3623,16/4/2008,4/8/2008,110,17,CARORA
3623,16/4/2008,19/8/2008,125,15.6,CARORA
3623,16/4/2008,4/9/2008,141,15.4,CARORA
3623,16/4/2008,19/9/2008,156,14.9,CARORA
3623,16/4/2008,5/10/2008,172,16,CARORA
3623,16/4/2008,20/10/2008,187,15.8,CARORA
3623,16/4/2008,3/11/2008,201,15.2,CARORA
3623,16/4/2008,19/11/2008,217,15.8,CARORA
3623,16/4/2008,7/12/2008,235,15.3,CARORA
3623,16/4/2008,21/12/2008,249,15.4,CARORA
3623,16/4/2008,3/1/2009,262,16.8,CARORA
3623,16/4/2008,18/1/2009,277,14.8,CARORA
3623,16/4/2008,4/2/2009,294,12.4,CARORA
3623,16/4/2008,18/2/2009,308,12,CARORA
3623,16/4/2008,8/3/2009,326,6,CARORA
3623,16/4/2008,22/3/2009,340,0,CARORA
3626,26/4/2008,8/6/2008,43,11.2,CARORA
3626,26/4/2008,23/6/2008,58,11,CARORA
3626,26/4/2008,6/7/2008,71,12,CARORA
3626,26/4/2008,25/7/2008,90,13.1,CARORA
3626,26/4/2008,8/8/2008,104,10.5,CARORA
3626,26/4/2008,23/8/2008,119,12.9,CARORA
3626,26/4/2008,7/9/2008,134,13.3,CARORA
3626,26/4/2008,23/9/2008,150,14,CARORA
3626,26/4/2008,8/10/2008,165,13,CARORA
3626,26/4/2008,24/10/2008,181,13.8,CARORA
3626,26/4/2008,8/11/2008,196,11.9,CARORA
3626,26/4/2008,22/11/2008,210,13,CARORA
3626,26/4/2008,8/12/2008,226,11.4,CARORA
3626,26/4/2008,26/12/2008,244,12,CARORA
3626,26/4/2008,9/1/2009,258,11.9,CARORA
3626,26/4/2008,22/1/2009,271,12.7,CARORA
3626,26/4/2008,6/2/2009,286,11,CARORA
3626,26/4/2008,23/2/2009,303,4.1,CARORA
3626,26/4/2008,9/3/2009,317,7.9,CARORA
3626,26/4/2008,27/3/2009,335,9.1,CARORA
3626,26/4/2008,10/4/2009,349,4.3,CARORA
3626,26/4/2008,24/4/2009,363,3.6,CARORA
3636,6/5/2008,26/5/2008,20,17,CARORA
3636,6/5/2008,12/6/2008,37,17.4,CARORA
3636,6/5/2008,25/6/2008,50,15.4,CARORA
3636,6/5/2008,10/7/2008,65,14.6,CARORA
3636,6/5/2008,14/8/2008,100,11.3,CARORA
3636,6/5/2008,25/8/2008,111,11.1,CARORA
3636,6/5/2008,11/9/2008,128,11.6,CARORA
3636,6/5/2008,8/10/2008,155,11.4,CARORA
3636,6/5/2008,30/10/2008,177,8.3,CARORA
3636,6/5/2008,11/11/2008,189,9.6,CARORA
3636,6/5/2008,26/11/2008,204,11.4,CARORA
3636,6/5/2008,17/12/2008,225,10.3,CARORA
3636,6/5/2008,26/12/2008,234,10.4,CARORA
3636,6/5/2008,9/1/2009,248,9.1,CARORA
3636,6/5/2008,5/2/2009,275,7.6,CARORA
3636,6/5/2008,19/2/2009,289,6.7,CARORA
3639,16/5/2008,17/5/2008,1,6.9,CARORA
3639,16/5/2008,17/6/2008,32,18.8,CARORA
3639,16/5/2008,2/7/2008,47,16.8,CARORA
3639,16/5/2008,15/7/2008,60,16.4,CARORA
3639,16/5/2008,3/8/2008,79,15.7,CARORA
3639,16/5/2008,17/8/2008,93,17.6,CARORA
3639,16/5/2008,1/9/2008,108,14.8,CARORA
3639,16/5/2008,16/9/2008,123,17.6,CARORA
3639,16/5/2008,2/10/2008,139,16.6,CARORA
3639,16/5/2008,17/10/2008,154,17.5,CARORA
3639,16/5/2008,2/11/2008,170,15.5,CARORA
3639,16/5/2008,17/11/2008,185,12.1,CARORA
3639,16/5/2008,1/12/2008,199,15.3,CARORA
3639,16/5/2008,17/12/2008,215,4.9,CARORA
3639,16/5/2008,4/1/2009,233,16.1,CARORA
3639,16/5/2008,18/1/2009,247,15.3,CARORA
3639,16/5/2008,31/1/2009,260,16.8,CARORA
3639,16/5/2008,15/2/2009,275,15,CARORA
3639,16/5/2008,4/3/2009,292,12.4,CARORA
3639,16/5/2008,18/3/2009,306,8.4,CARORA
3639,16/5/2008,5/4/2009,324,12.5,CARORA
3639,16/5/2008,19/4/2009,338,8,CARORA
3639,16/5/2008,3/5/2009,352,6.9,CARORA
3639,16/5/2008,18/5/2009,367,6.9,CARORA
3639,16/5/2008,3/8/2009,444,8.4,CARORA
3639,16/5/2008,17/8/2009,458,6,CARORA
3639,16/5/2008,2/9/2009,474,7.7,CARORA
3646,26/5/2008,2/7/2008,37,11.8,CARORA
3646,26/5/2008,16/7/2008,51,10.9,CARORA
3646,26/5/2008,1/8/2008,67,10.2,CARORA
3646,26/5/2008,18/8/2008,84,8.2,CARORA
3646,26/5/2008,1/9/2008,98,7.8,CARORA
3646,26/5/2008,16/9/2008,113,8.9,CARORA
3646,26/5/2008,6/10/2008,133,9.8,CARORA
3646,26/5/2008,16/10/2008,143,9.1,CARORA
3646,26/5/2008,30/10/2008,157,9.4,CARORA
3646,26/5/2008,17/11/2008,175,8.5,CARORA
3646,26/5/2008,4/12/2008,192,9.7,CARORA
3646,26/5/2008,17/12/2008,205,8.5,CARORA
3646,26/5/2008,1/1/2009,220,9.3,CARORA
3646,26/5/2008,5/2/2009,255,7.6,CARORA
3646,26/5/2008,16/2/2009,266,7.9,CARORA
3646,26/5/2008,5/3/2009,283,7,CARORA
3646,26/5/2008,1/4/2009,310,7.5,CARORA
3646,26/5/2008,23/4/2009,332,3.9,CARORA
3687,5/6/2008,1/7/2008,26,14.9,CARORA
3687,5/6/2008,16/7/2008,41,10.9,CARORA
3687,5/6/2008,29/7/2008,54,8.7,CARORA
3687,5/6/2008,17/8/2008,73,13.1,CARORA
3687,5/6/2008,31/8/2008,87,15.4,CARORA
3687,5/6/2008,15/9/2008,102,17.1,CARORA
3687,5/6/2008,30/9/2008,117,15.7,CARORA
3687,5/6/2008,16/10/2008,133,15,CARORA
3687,5/6/2008,31/10/2008,148,11.4,CARORA
3687,5/6/2008,16/11/2008,164,13.5,CARORA
3687,5/6/2008,1/12/2008,179,12.1,CARORA
3687,5/6/2008,15/12/2008,193,11.7,CARORA
3687,5/6/2008,31/12/2008,209,12.9,CARORA
3687,5/6/2008,18/1/2009,227,11.9,CARORA
3687,5/6/2008,1/2/2009,241,11.5,CARORA
3687,5/6/2008,14/2/2009,254,12.6,CARORA
3687,5/6/2008,1/3/2009,269,11.3,CARORA
3687,5/6/2008,18/3/2009,286,7.9,CARORA
3687,5/6/2008,1/4/2009,300,3.3,CARORA
3687,5/6/2008,19/4/2009,318,8,CARORA
9331,15/6/2008,28/6/2008,13,9.3,CARORA
9331,15/6/2008,11/7/2008,26,10.6,CARORA
9331,15/6/2008,26/7/2008,41,10.3,CARORA
9331,15/6/2008,30/8/2008,76,8.2,CARORA
9331,15/6/2008,10/9/2008,87,7.7,CARORA
9331,15/6/2008,27/9/2008,104,9.9,CARORA
9331,15/6/2008,24/10/2008,131,10.2,CARORA
9331,15/6/2008,15/11/2008,153,7.2,CARORA
9331,15/6/2008,27/11/2008,165,6.6,CARORA
9331,15/6/2008,12/12/2008,180,9.8,CARORA
9331,15/6/2008,2/1/2009,201,8.5,CARORA
9331,15/6/2008,11/1/2009,210,7.3,CARORA
9331,15/6/2008,25/1/2009,224,7.3,CARORA
9331,15/6/2008,21/2/2009,251,6.1,CARORA
9331,15/6/2008,7/3/2009,265,4.6,CARORA
9384,25/6/2008,7/8/2008,43,11.8,CARORA
9384,25/6/2008,18/8/2008,54,10.5,CARORA
9384,25/6/2008,4/9/2008,71,11.8,CARORA
9384,25/6/2008,1/10/2008,98,11.6,CARORA
9384,25/6/2008,23/10/2008,120,9.7,CARORA
9384,25/6/2008,4/11/2008,132,9.8,CARORA
9384,25/6/2008,19/11/2008,147,11.6,CARORA
9384,25/6/2008,10/12/2008,168,11.1,CARORA
9384,25/6/2008,19/12/2008,177,10.7,CARORA
9384,25/6/2008,2/1/2009,191,8.6,CARORA
9384,25/6/2008,29/1/2009,218,9.3,CARORA
9384,25/6/2008,12/2/2009,232,8.3,CARORA
9384,25/6/2008,3/3/2009,251,9.4,CARORA
9384,25/6/2008,30/3/2009,278,9.3,CARORA
9384,25/6/2008,21/4/2009,300,7.8,CARORA
9384,25/6/2008,7/5/2009,316,9,CARORA
9384,25/6/2008,21/5/2009,330,8.5,CARORA
9384,25/6/2008,5/6/2009,345,9.8,CARORA
9384,25/6/2008,19/6/2009,359,9.2,CARORA
9384,25/6/2008,10/7/2009,380,7,CARORA
9384,25/6/2008,30/7/2009,400,8.9,CARORA
9401,5/7/2008,3/8/2008,29,11.8,CARORA
9401,5/7/2008,18/8/2008,44,10.7,CARORA
9401,5/7/2008,22/9/2008,79,9.8,CARORA
9401,5/7/2008,3/10/2008,90,7.2,CARORA
9401,5/7/2008,20/10/2008,107,11.7,CARORA
9401,5/7/2008,16/11/2008,134,8.6,CARORA
9401,5/7/2008,8/12/2008,156,6.8,CARORA
9401,5/7/2008,20/12/2008,168,6.5,CARORA
9401,5/7/2008,4/1/2009,183,8.8,CARORA
9401,5/7/2008,25/1/2009,204,9,CARORA
9401,5/7/2008,3/2/2009,213,4.8,CARORA
9425,15/7/2008,25/7/2008,10,15.5,CARORA
9425,15/7/2008,11/8/2008,27,13,CARORA
9425,15/7/2008,24/8/2008,40,12,CARORA
9425,15/7/2008,8/9/2008,55,11.4,CARORA
9425,15/7/2008,13/10/2008,90,7.3,CARORA
9425,15/7/2008,24/10/2008,101,6.6,CARORA
9425,15/7/2008,10/11/2008,118,7.5,CARORA
9425,15/7/2008,7/12/2008,145,4.1,CARORA
9425,15/7/2008,29/12/2008,167,2.8,CARORA
9425,15/7/2008,10/1/2009,179,5.5,CARORA
9425,15/7/2008,25/1/2009,194,6.9,CARORA
9425,15/7/2008,15/2/2009,215,8.4,CARORA
9425,15/7/2008,24/2/2009,224,6.3,CARORA
9425,15/7/2008,10/3/2009,238,6.4,CARORA
9425,15/7/2008,6/4/2009,265,5.1,CARORA
9425,15/7/2008,20/4/2009,279,5.9,CARORA
9425,15/7/2008,9/5/2009,298,5,CARORA
9425,15/7/2008,5/6/2009,325,6.7,CARORA
9479,25/7/2008,12/9/2008,49,12.4,CARORA
9479,25/7/2008,23/9/2008,60,10.9,CARORA
9479,25/7/2008,10/10/2008,77,11.6,CARORA
9479,25/7/2008,6/11/2008,104,11.2,CARORA
9479,25/7/2008,28/11/2008,126,9.7,CARORA
9479,25/7/2008,10/12/2008,138,9.5,CARORA
9479,25/7/2008,25/12/2008,153,11.3,CARORA
9479,25/7/2008,15/1/2009,174,11.6,CARORA
9479,25/7/2008,24/1/2009,183,11.7,CARORA
9479,25/7/2008,7/2/2009,197,10,CARORA
9479,25/7/2008,6/3/2009,224,9.1,CARORA
9479,25/7/2008,20/3/2009,238,8.4,CARORA
9479,25/7/2008,8/4/2009,257,9.4,CARORA
9479,25/7/2008,5/5/2009,284,8.4,CARORA
9479,25/7/2008,27/5/2009,306,6.8,CARORA
9479,25/7/2008,12/6/2009,322,6.8,CARORA
9479,25/7/2008,26/6/2009,336,6.2,CARORA
9479,25/7/2008,11/7/2009,351,6.7,CARORA
9479,25/7/2008,25/7/2009,365,6.9,CARORA
9530,4/8/2008,31/8/2008,27,7.3,CARORA
9530,4/8/2008,11/9/2008,38,6.5,CARORA
9530,4/8/2008,28/9/2008,55,7.9,CARORA
9530,4/8/2008,25/10/2008,82,6.8,CARORA
9530,4/8/2008,16/11/2008,104,4.5,CARORA
9530,4/8/2008,28/11/2008,116,6.4,CARORA
9530,4/8/2008,13/12/2008,131,7.9,CARORA
9530,4/8/2008,3/1/2009,152,7.7,CARORA
9530,4/8/2008,12/1/2009,161,7.5,CARORA
9530,4/8/2008,26/1/2009,175,6.1,CARORA
9530,4/8/2008,22/2/2009,202,4.7,CARORA
